1,1,109,20.161
1,2,107,19.584
1,3,108,19.513
1,4,110,19.38
1,5,107,19.761
1,6,106,19.812
1,7,116,20.013
1,8,118,20.869
1,9,128,22.674
1,10,135,23.364
1,11,131,23.563
1,12,141,24.136
1,13,147,25.404
1,14,149,25.893
1,15,146,25.331
1,16,147,25.305
1,17,148,25.582
1,18,149,26.55
1,19,160,27.59
1,20,162,28.386
1,21,168,28.967
1,22,165,28.634
1,23,176,30.136
1,24,189,31.667
1,25,176,31.383
1,26,182,32.167
1,27,179,32.187
2,1,115,21.351
2,2,112,20.467
2,3,116,20.528
2,4,115,20.643
2,5,115,20.75
2,6,118,21.275
2,7,125,22.313
2,8,124,22.635
2,9,131,23.195
2,10,128,22.458
2,11,127,23.486
2,12,135,24.77
2,13,139,24.637
2,14,135,24.941
2,15,142,25.166
2,16,142,25.751
2,17,145,25.388
2,18,157,27.508
2,19,169,28.968
2,20,166,28.861
2,21,174,30.371
2,22,172,29.556
2,23,168,28.896
2,24,168,29.334
2,25,172,30.459
2,26,170,30.866
2,27,184,32.059
3,1,108,20.151
3,2,110,19.959
3,3,106,19.157
3,4,109,19.883
3,5,116,21.134
3,6,115,20.442
3,7,120,21.51
3,8,123,22.253
3,9,131,23.743
3,10,131,22.484
3,11,133,23.755
3,12,139,24.364
3,13,139,24.51
3,14,130,23.877
3,15,126,23.758
3,16,132,23.951
3,17,138,24.79
3,18,138,25.044
3,19,148,27.212
3,20,147,26.654
3,21,143,26.055
3,22,150,26.964
3,23,165,28.5
3,24,156,28.932
3,25,156,28.863
3,26,163,29.916
3,27,160,29.974
4,1,117,22.594
4,2,121,22.146
4,3,126,23.137
4,4,122,22.771
4,5,121,22.817
4,6,127,23.607
4,7,129,23.75
4,8,137,24.165
4,9,143,25.29
4,10,142,26.189
4,11,153,27.419
4,12,153,27.695
4,13,163,28.598
4,14,165,29.86
4,15,171,30.936
4,16,172,31.712
4,17,174,32.387
4,18,182,32.924
4,19,185,33.276
4,20,190,32.892
4,21,195,32.98
4,22,199,33.941
4,23,193,33.315
4,24,197,34.538
4,25,193,35.261
4,26,202,36.531
4,27,219,37.762
5,1,114,19.874
5,2,122,20.709
5,3,108,19.71
5,4,109,19.127
5,5,111,19.181
5,6,105,18.329
5,7,118,19.911
5,8,123,21.298
5,9,125,21.859
5,10,132,22.31
5,11,138,23.556
5,12,141,24.058
5,13,141,24.568
5,14,147,25.073
5,15,151,24.903
5,16,145,23.826
5,17,147,25.369
5,18,147,25.758
5,19,151,26.326
5,20,152,25.233
5,21,159,25.376
5,22,159,26.281
5,23,162,26.205
5,24,170,28.911
5,25,173,28.069
5,26,175,28.315
5,27,178,29.638
6,1,86,14.822
6,2,93,15.638
6,3,90,14.815
6,4,92,15.857
6,5,95,16.739
6,6,97,16.802
6,7,88,15.648
6,8,99,17.008
6,9,110,18.734
6,10,109,18.238
6,11,114,19.166
6,12,119,19.598
6,13,125,20.626
6,14,127,20.665
6,15,128,20.601
6,16,135,21.769
6,17,137,22.489
6,18,143,23.45
6,19,138,22.959
6,20,132,22.251
6,21,140,22.983
6,22,146,23.921
6,23,135,23.624
6,24,142,24.135
6,25,152,24.935
6,26,154,25.756
6,27,160,26.761
7,1,107,16.9
7,2,104,16.453
7,3,104,16.638
7,4,103,17.06
7,5,112,18.638
7,6,131,20.411
7,7,120,20.165
7,8,125,20.075
7,9,127,21.6
7,10,133,22.666
7,11,136,22.043
7,12,132,20.76
7,13,140,22.256
7,14,138,22.711
7,15,149,24.614
7,16,151,23.794
7,17,154,24.589
7,18,163,25.971
7,19,173,26.785
7,20,170,26.858
7,21,161,26.549
7,22,167,26.036
7,23,174,27.098
7,24,180,28.774
7,25,167,27.75
7,26,172,28.179
7,27,183,29.854
8,1,95,15.693
8,2,103,16.388
8,3,103,16.327
8,4,102,16.684
8,5,103,16.587
8,6,102,16.307
8,7,106,16.967
8,8,105,17.578
8,9,116,18.18
8,10,112,18.283
8,11,112,18.676
